Position,Driver,Total time,Best lap,Laps,Points
1,ChampOfHell94,20:25:942,01:33:142,13,20
2,D. Krol,+ 00:12:391,01:33:877,13,16
3,Kowen,+ 00:28:742,01:35:002,13,13
4,Dzonykirango,+ 00:39:077,01:35:270,13,11
5,KejsPower,+ 00:39:204,01:34:060,13,9
6,Khasithe,+ 00:56:526,01:35:802,13,7
7,Sagxx,+ 01:10:087,01:35:935,13,5
8,Slawek,+ 01:32:115,01:37:290,13,4
9,Zdybix,+ 01:37:762,01:36:700,13,3
10,THCMJ77,+1 lap,01:37:035,12,2
11,Chadeka90,+3 laps,01:39:587,10,1
12,Drumefy,+3 laps,01:37:732,10,1
13,Chapsior,+4 laps,01:38:705,9,1
